,image,True CLass,Predicted Class
0,60333007787_112219_015411_L,1,1
1,60333009835_111819_094919_L,1,0
2,60333009842_111819_100914_L,1,0
3,60333009941_111819_111529_R,1,0
4,60333010022_111819_115819_L,1,1
5,60333010091_111819_125438_L,1,0
6,60333010114_111819_125858_R,1,0
7,60333012316_111719_024812_R,1,1
8,60333012316_111719_025015_L,1,0
9,60333013788_123117_103651_R,1,0
10,60333013900_010118_121157_R,1,1
11,60333013900_010118_121217_L,1,1
12,60333011494_112219_121229_R,0,0
13,60333011494_112219_121247_L,0,0
14,60333011500_112219_123832_R,0,0
15,60333011500_112219_123853_L,0,0
16,60333011524_112219_124112_R,0,0
17,60333011524_112219_124128_L,0,0
18,60333011531_112219_125825_R,0,0
19,60333011531_112219_125847_R,0,0
20,60333011548_112219_010113_R,0,0
21,60333011548_112219_010128_L,0,0
22,60333011555_112219_010232_R,0,0
23,60333011555_112219_010245_L,0,1
24,60333011562_112219_011152_L,0,0
25,60333011579_112219_011449_L,0,0
26,60333011586_112219_012724_R,0,0
27,60333011586_112219_012753_L,0,0
28,60333011593_112219_013820_L,0,0
29,60333011609_112219_013950_R,0,0
30,60333011609_112219_014005_L,0,0
31,60333011616_112219_014939_R,0,0
32,60333011616_112219_014959_L,0,0
33,60333011630_112219_021443_R,0,0
34,60333011630_112219_021459_L,0,0
35,60333011647_112219_021557_R,0,0
36,60333011647_112219_021612_L,0,0
37,60333011654_112219_021808_R,0,0
38,60333011654_112219_021900_L,0,0
39,60333011661_112219_023153_R,0,0
40,60333011661_112219_023211_L,0,0
41,60333011678_112219_023303_R,0,0
42,60333011678_112219_023320_L,0,0
43,60333011685_112219_024834_R,0,0
44,60333011685_112219_024907_L,0,0
45,60333011692_112219_025002_R,0,0
46,60333011692_112219_025020_L,0,0
47,60333011708_112219_025120_R,0,0
48,60333011708_112219_025143_L,0,0
49,60333012217_111719_012608_R,0,0
50,60333012217_111719_012636_L,0,0
51,60333012224_111719_014025_R,0,1
52,60333012231_111719_014220_R,0,0
53,60333012231_111719_014256_L,0,1
54,60333012248_111719_015753_R,0,0
55,60333012248_111719_015813_L,0,0
56,60333012255_111719_020035_R,0,0
57,60333012255_111719_020109_L,0,0
58,60333012262_111719_021511_R,0,0
59,60333012262_111719_021529_L,0,0
60,60333012279_111719_021625_R,0,0
61,60333012279_111719_021644_L,0,0
62,60333012286_111719_022937_R,0,0
63,60333012286_111719_022958_L,0,0
64,60333012293_111719_023418_R,0,0
65,60333012293_111719_023504_L,0,0
66,60333012309_111719_024553_R,0,0
67,60333012309_111719_024615_L,0,0
68,60333012323_111719_032828_R,0,0
69,60333012323_111719_032846_L,0,0
70,60333012330_111719_032932_R,0,1
71,60333012330_111719_032946_L,0,0
72,60333012347_111719_034532_R,0,0
73,60333012347_111719_034624_L,0,0
74,60333012354_111719_034715_R,0,0
75,60333012354_111719_034730_L,0,0
76,60333012361_111719_035608_R,0,1
77,60333012361_111719_035624_L,0,0
78,60333012378_111719_035711_R,0,1
79,60333012378_111719_035727_L,0,0
80,60333012385_111719_040917_R,0,0
81,60333012385_111719_040935_L,0,0
82,60333012392_111719_043618_R,0,0
83,60333012392_111719_043651_L,0,0
84,60333012408_111719_043737_R,0,0
85,60333012408_111719_043756_L,0,0
86,60333012415_111719_044608_R,0,0
87,60333012415_111719_044624_L,0,0
88,60333012422_111719_050040_R,0,0
89,60333012422_111719_050207_L,0,0
90,60333012439_111719_050733_R,0,0
91,60333012439_111719_050745_L,0,0
92,60333012446_111719_051145_R,0,0
93,60333012446_111719_051202_L,0,0
94,60333012453_111719_051245_R,0,0
95,60333012453_111719_051304_L,0,0
96,60333012460_111719_052352_R,0,0
97,60333012460_111719_052413_L,0,0
98,60333012477_111819_090613_R,0,0
99,60333012477_111819_090648_L,0,0
100,60333012484_111819_090811_R,0,0
101,60333012484_111819_090838_L,0,0
102,60333012491_111819_091603_R,0,0
103,60333012491_111819_091639_L,0,1
104,60333012507_111819_093629_R,0,0
105,60333012507_111819_093717_L,0,0
106,60333012514_111819_095537_R,0,0
107,60333012514_111819_095557_L,0,0
108,60333012521_111819_095829_R,0,0
109,60333012521_111819_095846_L,0,0
110,60333012538_111819_101300_R,0,0
111,60333012538_111819_101321_L,0,0
112,60333012545_111819_101611_R,0,0
113,60333012545_111819_101625_L,0,0
114,60333012552_111819_102705_R,0,0
115,60333012552_111819_102724_L,0,0
116,60333012569_111819_102841_L,0,0
117,60333012576_111819_102950_R,0,0
118,60333012576_111819_103008_L,0,0
119,60333012590_111819_110117_R,0,0
120,60333012590_111819_110141_L,0,0
121,60333012606_111819_111857_R,0,0
122,60333012606_111819_112000_L,0,0
123,60333012613_111819_113011_R,0,0
124,60333012613_111819_113030_L,0,0
125,60333012620_111819_113313_R,0,0
126,60333012620_111819_113330_L,0,0
127,60333012637_111819_114535_R,0,0
128,60333012637_111819_114553_L,0,0
129,60333012644_111819_114711_R,0,0
130,60333012644_111819_114734_L,0,0
131,60333012651_111819_114822_R,0,0
132,60333012651_111819_114834_L,0,0
133,60333012675_111819_121030_R,0,0
134,60333012675_111819_121046_L,0,0
135,60333012682_111819_121117_R,0,0
136,60333012682_111819_121142_L,0,0
137,60333012699_111819_122434_R,0,0
138,60333012699_111819_122505_L,0,0
139,60333012705_111819_123922_L,0,0
140,60333012712_111819_125640_R,0,0
141,60333012712_111819_125658_L,0,0
142,60333012729_111819_010628_R,0,0
143,60333012729_111819_010644_L,0,0
144,60333012736_111819_010742_R,0,0
145,60333012736_111819_010802_L,0,0
