image,True CLass,Predicted Class
1281,1,1
1283,1,1
1292,1,1
1294,1,1
1298,1,1
1301,1,0
1302,1,1
1303,1,1
1304,1,0
1305,1,1
1318,1,1
1322,1,1
1326,1,1
1330,1,1
1331,1,1
1337,1,1
1338,1,1
1340,1,1
1341,1,1
1343,1,1
1344,1,1
1346,1,1
1349,1,0
1351,1,1
1356,1,0
1360,1,1
1361,1,0
1363,1,1
1364,1,1
1371,1,1
1378,1,1
1379,1,1
1386,1,1
1390,1,1
1393,1,0
1394,1,1
1400,1,1
1404,1,1
1406,1,1
1409,1,1
1411,1,1
1416,1,1
1419,1,1
1421,1,1
1422,1,1
1425,1,1
1431,1,1
1432,1,1
1434,1,1
1435,1,1
1437,1,1
1444,1,1
1451,1,1
1454,1,0
1458,1,1
1461,1,1
1468,1,1
1469,1,1
1470,1,1
1472,1,1
1477,1,1
1482,1,1
1484,1,1
1491,1,1
1493,1,1
1499,1,1
1500,1,1
1514,1,1
1515,1,1
1517,1,1
1528,1,1
1529,1,1
1532,1,1
1533,1,1
1537,1,1
1539,1,1
1543,1,1
1544,1,1
1559,1,1
1564,1,1
1567,1,1
1569,1,1
1570,1,1
1571,1,1
1574,1,1
1576,1,1
1581,1,1
1583,1,1
1584,1,1
1589,1,1
1596,1,1
1601,1,0
1606,1,1
1607,1,1
1613,1,1
1616,1,1
1620,1,1
1622,1,1
1626,1,1
1627,1,1
1628,1,1
1629,1,1
1631,1,1
1634,1,1
1635,1,1
1649,1,0
1355,0,0
1357,0,0
1358,0,0
1359,0,0
1362,0,0
1365,0,0
1366,0,1
1367,0,1
1368,0,0
1369,0,0
1370,0,0
1372,0,0
1373,0,0
1374,0,0
1375,0,1
1376,0,0
1377,0,0
1380,0,0
1381,0,0
1383,0,0
1384,0,0
1385,0,0
1387,0,0
1388,0,0
1389,0,0
1391,0,0
1392,0,0
1395,0,0
1396,0,0
1397,0,0
1398,0,0
1399,0,0
1401,0,1
1402,0,0
1403,0,0
1405,0,0
1407,0,0
1408,0,0
1413,0,0
1414,0,0
1415,0,0
1417,0,0
1418,0,0
1420,0,0
1423,0,1
1426,0,1
1427,0,0
1428,0,0
1429,0,1
1430,0,0
1433,0,0
1436,0,0
1438,0,1
1439,0,0
1440,0,0
1441,0,1
1442,0,0
1443,0,0
1445,0,0
1446,0,0
1447,0,0
1448,0,0
1449,0,0
1450,0,0
1452,0,0
1453,0,0
1455,0,0
1456,0,0
1457,0,0
1459,0,0
1460,0,0
1462,0,0
1463,0,1
1464,0,0
1465,0,0
1466,0,0
1467,0,0
1471,0,0
1473,0,1
1474,0,0
1475,0,0
1476,0,0
1478,0,1
1479,0,0
1480,0,0
1481,0,0
1483,0,0
1485,0,0
1486,0,0
1487,0,0
1489,0,0
1494,0,0
1495,0,1
1496,0,1
1497,0,0
1498,0,0
1501,0,0
1502,0,0
1503,0,0
1505,0,1
1506,0,0
1507,0,0
1508,0,0
1509,0,0
1510,0,0
1511,0,1
1512,0,1
1513,0,0
1516,0,0
1518,0,0
1519,0,0
1520,0,0
1521,0,0
1523,0,0
1524,0,0
1526,0,0
1527,0,0
1530,0,0
1531,0,0
1534,0,1
1535,0,0
1536,0,0
1538,0,0
1540,0,0
1541,0,1
1542,0,1
1545,0,0
1546,0,0
1547,0,0
1548,0,0
1549,0,0
1550,0,0
1551,0,0
1552,0,0
1553,0,1
1554,0,0
1555,0,0
1556,0,0
1557,0,0
1558,0,0
1560,0,1
1561,0,0
1562,0,0
1563,0,0
1565,0,0
1568,0,0
1572,0,0
1573,0,1
1577,0,0
1578,0,0
1580,0,0
1582,0,0
1585,0,0
1586,0,0
1588,0,0
1590,0,0
1591,0,0
1592,0,1
1593,0,0
1594,0,1
1595,0,1
1597,0,0
1598,0,0
1599,0,0
1600,0,0
1602,0,0
1603,0,0
1604,0,0
1605,0,0
1608,0,0
1609,0,1
1610,0,1
1611,0,1
1612,0,1
1614,0,0
1615,0,0
1617,0,0
1618,0,0
1619,0,0
1623,0,1
1624,0,0
1625,0,0
1630,0,0
1632,0,1
1633,0,1
1636,0,0
1637,0,0
1638,0,0
1639,0,1
1640,0,1
1641,0,0
1643,0,0
1644,0,0
1645,0,0
1646,0,0
1647,0,0
1648,0,0
1650,0,0
1651,0,0
1652,0,0
1653,0,0
1654,0,0
1655,0,1
1656,0,0
